epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-06, 262144, 8, TaskBased, 7, 173.924, 0.99425, 6.3455
1e-06, 262144, 8, TaskBased, 8, 173.924, 0.99425, 6.11609
1e-06, 262144, 8, TaskBased, mean, N.A, N.A, 6.27954
1e-06, 262144, 8, TaskBased, stddev, N.A, N.A, 0.181702
1e-06, 524288, 16, Classic, 0, 316.823, 0.996844, 10.8327
1e-06, 524288, 16, Classic, 1, 316.823, 0.996844, 9.74882
1e-06, 524288, 16, Classic, 2, 316.823, 0.996844, 9.75079
1e-06, 524288, 16, Classic, 3, 316.823, 0.996844, 9.59188
1e-06, 524288, 16, Classic, 4, 316.823, 0.996844, 9.61215
1e-06, 524288, 16, Classic, 5, 316.823, 0.996844, 9.2964
1e-06, 524288, 16, Classic, 6, 316.823, 0.996844, 9.70852
1e-06, 524288, 16, Classic, 7, 316.823, 0.996844, 9.46575
1e-06, 524288, 16, Classic, 8, 316.823, 0.996844, 9.57518
1e-06, 524288, 16, Classic, mean, N.A, N.A, 9.73136
1e-06, 524288, 16, Classic, stddev, N.A, N.A, 0.437601
1e-06, 524288, 16, TaskBased, 0, 316.823, 0.996844, 10.4595
1e-06, 524288, 16, TaskBased, 1, 316.823, 0.996844, 11.169
1e-06, 524288, 16, TaskBased, 2, 316.823, 0.996844, 10.7513
1e-06, 524288, 16, TaskBased, 3, 316.823, 0.996844, 10.5426
1e-06, 524288, 16, TaskBased, 4, 316.823, 0.996844, 10.222
1e-06, 524288, 16, TaskBased, 5, 316.823, 0.996844, 10.5514
1e-06, 524288, 16, TaskBased, 6, 316.823, 0.996844, 10.2159
1e-06, 524288, 16, TaskBased, 7, 316.823, 0.996844, 10.5505
1e-06, 524288, 16, TaskBased, 8, 316.823, 0.996844, 11.2778
1e-06, 524288, 16, TaskBased, mean, N.A, N.A, 10.6378
1e-06, 524288, 16, TaskBased, stddev, N.A, N.A, 0.372732
0.0001, 32768, 1, Classic, 0, 46.0398, 0.97828, 1.64571
0.0001, 32768, 1, Classic, 1, 46.0398, 0.97828, 1.63172
0.0001, 32768, 1, Classic, 2, 46.0398, 0.97828, 1.6326
0.0001, 32768, 1, Classic, 3, 46.0398, 0.97828, 1.63214
0.0001, 32768, 1, Classic, 4, 46.0398, 0.97828, 1.63334
0.0001, 32768, 1, Classic, 5, 46.0398, 0.97828, 1.63169
0.0001, 32768, 1, Classic, 6, 46.0398, 0.97828, 1.63227
0.0001, 32768, 1, Classic, 7, 46.0398, 0.97828, 1.63403
0.0001, 32768, 1, Classic, 8, 46.0398, 0.97828, 1.63135
0.0001, 32768, 1, Classic, mean, N.A, N.A, 1.63387
0.0001, 32768, 1, Classic, stddev, N.A, N.A, 0.00451781
0.0001, 32768, 1, TaskBased, 0, 46.0398, 0.97828, 1.62704
0.0001, 32768, 1, TaskBased, 1, 46.0398, 0.97828, 1.62801
0.0001, 32768, 1, TaskBased, 2, 46.0398, 0.97828, 1.63117
0.0001, 32768, 1, TaskBased, 3, 46.0398, 0.97828, 1.63011
0.0001, 32768, 1, TaskBased, 4, 46.0398, 0.97828, 1.62584
0.0001, 32768, 1, TaskBased, 5, 46.0398, 0.97828, 1.62914
0.0001, 32768, 1, TaskBased, 6, 46.0398, 0.97828, 1.63053
0.0001, 32768, 1, TaskBased, 7, 46.0398, 0.97828, 1.62542
0.0001, 32768, 1, TaskBased, 8, 46.0398, 0.97828, 1.62596
0.0001, 32768, 1, TaskBased, mean, N.A, N.A, 1.62814
0.0001, 32768, 1, TaskBased, stddev, N.A, N.A, 0.00219298
0.0001, 65536, 2, Classic, 0, 82.6103, 0.987895, 2.31715
0.0001, 65536, 2, Classic, 1, 82.6103, 0.987895, 2.54417
0.0001, 65536, 2, Classic, 2, 82.6103, 0.987895, 2.38826
0.0001, 65536, 2, Classic, 3, 82.6103, 0.987895, 2.15837
0.0001, 65536, 2, Classic, 4, 82.6103, 0.987895, 1.97939
0.0001, 65536, 2, Classic, 5, 82.6103, 0.987895, 2.00266
0.0001, 65536, 2, Classic, 6, 82.6103, 0.987895, 1.94536
0.0001, 65536, 2, Classic, 7, 82.6103, 0.987895, 2.04515
0.0001, 65536, 2, Classic, 8, 82.6103, 0.987895, 2.30673
0.0001, 65536, 2, Classic, mean, N.A, N.A, 2.18747
0.0001, 65536, 2, Classic, stddev, N.A, N.A, 0.21088
0.0001, 65536, 2, TaskBased, 0, 82.6103, 0.987895, 2.4834
0.0001, 65536, 2, TaskBased, 1, 82.6103, 0.987895, 2.49456
0.0001, 65536, 2, TaskBased, 2, 82.6103, 0.987895, 2.54217
0.0001, 65536, 2, TaskBased, 3, 82.6103, 0.987895, 2.52419
0.0001, 65536, 2, TaskBased, 4, 82.6103, 0.987895, 2.48347
0.0001, 65536, 2, TaskBased, 5, 82.6103, 0.987895, 2.55712
0.0001, 65536, 2, TaskBased, 6, 82.6103, 0.987895, 2.64935
0.0001, 65536, 2, TaskBased, 7, 82.6103, 0.987895, 2.50262
